78.803,14.291,0.14045,2
78.891,14.995,0.14107,2
78.978,15.699,0.14169,2
79.065,16.403,0.14231,2
79.153,17.106,0.14293,2
79.24,17.81,0.14355,3
79.328,18.514,0.14417,3
79.415,19.218,0.14479,3
79.503,19.922,0.14541,3
79.59,20.626,0.14603,3
79.677,21.33,0.14665,3
79.765,22.034,0.14727,3
79.852,22.738,0.14789,3
79.94,23.442,0.14851,3
80.027,24.145,0.14913,3
80.115,24.849,0.14975,3
80.639,29.073,0.15347,4
80.727,29.777,0.15409,4
80.814,30.481,0.15471,4
80.902,31.184,0.15533,4
80.989,31.888,0.15595,4
81.076,32.592,0.15657,4
81.164,33.296,0.15719,4
81.251,34,0.15781,4
81.339,9,0.15843,4
81.426,20,0.15905,4
81.514,31,0.15967,4
81.601,28,0.16029,4
81.688,25,0.16091,4
81.776,22,0.16153,4
51,14.889,-0.056738,2
71.113,14.778,0.085905,2
66.742,14.667,0.054906,2
62.371,14.556,0.023907,2
58,14.444,-0.0070922,2
58.75,14.333,-0.001773,2
78.181,11.643,0.071269,2
78.113,11.817,0.070703,2
78.044,11.991,0.070137,2
77.976,12.166,0.069571,2
77.908,12.34,0.069005,2
77.84,12.514,0.068439,3
77.772,12.689,0.067873,3
77.704,12.863,0.067307,3
77.636,13.037,0.066741,3
77.567,13.211,0.066175,3
77.499,13.386,0.065609,3
77.431,13.56,0.065043,3
77.363,13.734,0.064477,3
77.295,13.909,0.063911,3
77.227,14.083,0.063345,3
77.159,14.257,0.062779,3
76.75,15.303,0.059382,4
76.681,15.477,0.058816,4
76.613,15.651,0.05825,4
76.545,15.826,0.057684,4
76.477,16,0.057118,4
76.409,24,0.056552,4
76.341,32,0.055986,4
76.273,40,0.05542,4
76.204,48,0.054854,4
76.136,46.994,0.054288,4
76.068,45.988,0.053722,4
70,28.883,0.0033223,2
70.111,27.876,0.0042451,2
70.222,26.87,0.005168,2
70.333,25.864,0.0060908,2
70.444,24.858,0.0070137,2
70.556,23.852,0.0079365,2
80.909,502.35,0.036896,2
76.231,584.28,-0.002253,2
73.25,666.21,-0.027197,2
79.667,748.14,0.026499,2
76.5,830.07,0,2
84.4,912,0.066109,3
86.462,866.9,0.08336,3
87.667,821.8,0.093445,3
83.909,776.7,0.062001,3
88.25,731.6,0.098326,3
90.167,686.5,0.11437,3
88.769,641.4,0.10267,3
89.667,596.3,0.11018,3
90.583,551.2,0.11785,3
91.091,506.1,0.1221,3
85.091,623.8,0.07189,4
95.545,650.93,0.15938,4
96.083,678.07,0.16388,4
95.667,705.2,0.16039,4
96.083,732.33,0.16388,4
95,771.89,0.15481,4
96.5,811.44,0.16736,4
99.417,851,0.19177,4
105.33,890.56,0.24128,4
106.25,930.11,0.24895,4
112.08,969.67,0.29777,4
123.5,691.56,0.39331,2
104.83,749.11,0.2371,2
97,806.67,0.17155,2
92.167,864.22,0.1311,2
94.75,921.78,0.15272,2
77.423,33.32,0.1164,2
77.166,33.64,0.11434,2
76.908,33.96,0.11228,2
76.65,34.28,0.11022,2
76.393,34.6,0.10816,2
76.135,34.92,0.1061,3
75.878,35.24,0.10405,3
75.62,35.56,0.10199,3
75.363,35.88,0.09993,3
75.105,36.2,0.097872,3
74.848,36.52,0.095814,3
74.59,36.84,0.093756,3
74.332,37.16,0.091698,3
74.075,37.48,0.08964,3
